Word,Exercise Type,Question,Correct Answer,Options,Explanation
aanleggen,Multiple Choice,What does aanleggen mean in Dutch?,Lay on,Lay on;to lay out;to walk;to recommend,Aanleggen means to lay on or moor.
aanleggen,Fill in Blank,De boot gaat _____ aan de kade.,aanleggen,aanleggen;aanlopen;aanraden;besteden,The boat is going to moor at the quay.
aanlopen,Multiple Choice,What does aanlopen mean?,Drop in,Drop in;to lay out;to recommend;to spend,Aanlopen means to drop in or walk up to something or someone.
aanlopen,Sentence Building,Translate I drop in at the house,ik loop aan het huis,ik;loop;aan;het;huis,You drop in at the house.
aanraden,Multiple Choice,What does aanraden mean?,Recommend/Suggest,Recommend/Suggest;to lay out;to walk;to spend,Aanraden means to recommend or suggest something.
aanraden,Fill in Blank,Ik _____ deze film aan.,aanraden,aanraden;raden;raad;aanraad,I recommend this film.
Balen,Multiple Choice,What does Balen mean?,Annoyed / Disappointed,Annoyed / Disappointed;to be limited;to realize;to spend,Balen means to be annoyed or disappointed about something.
Balen,Sentence Building,Translate I am annoyed about the weather,ik baal van het weer,ik;baal;van;het;weer,I'm annoyed about the weather.
beperkt,Multiple Choice,What does beperkt mean?,Limited,Limited;annoyed;realized;spent,Beperkt means limited or restricted.
beperkt,Fill in Blank,De mogelijkheden zijn _____.,beperkt,beperkt;beperken;beperking;beperkte,The possibilities are limited.
beseffen,Multiple Choice,What does beseffen mean?,Realize/Be aware of,Realize/Be aware of;to be annoyed;to be limited;to spend,Beseffen means to realize or become aware of something.
beseffen,Sentence Building,Translate I realize it now,ik besef het nu,ik;besef;het;nu,I realize it now.
besteden,Multiple Choice,What does besteden mean?,Spend,Spend;to be annoyed;to be limited;to realize,Besteden means to spend time or money on something.
besteden,Fill in Blank,Ik _____ veel tijd aan werk.,besteden,besteden;besteed;bestede;bested,I spend a lot of time on work.
bevalt me,Multiple Choice,What does bevalt me mean?,I like it / it pleases me,I like it / it pleases me;I confirm it;I realize it;I spend it,Bevalt me means I like it or it pleases me.
bevalt me,Sentence Building,Translate I like it here,het bevalt me hier,het;bevalt;me;hier,I like it here.
bevestigen,Multiple Choice,What does bevestigen mean?,Confirm,Confirm;to like;to realize;to spend,Bevestigen means to confirm or verify something.
