Word,Translation,Deck,Example,Article,Plural,Past Tense,Future Tense,Past Participle
aanmelden,To register,Chapter 3.3,,
Aanpak,The approach,Chapter 2.4,,De,,
aanpassen,Adjust,Chapter 2.5,,
Aanvallen,To attack,Chapter 2.2,,
Achteraan,At the back/end,Chapter 3.7,,
Achteraf,Afterwards later in hindsight,Chapter 3.3,,
Achteren,Backwards,Chapter 2.6,,
ademen,To breathe,Chapter 2.2,,
ademhaling,Breathing,Chapter 2.6,,
Afmelden,Log out,Chapter 3.3,,
afnemen,Take off,Chapter 5.1,,
Afwisselend,Varied diverse,Chapter 2.4,,
arbeidsmarkt,Labour job market,Chapter 5.1,,
Bedrag,Amount,Chapter 3.1,,
behandelen,To treat/to handle,Chapter 2.2,,
Bejaarden,Old people,Chapter 2.5,,
benauwd,Stuffy/breathless,Chapter 2.2,,
Beperking,Limitation restriction disability,Chapter 2.4,,
bereid,Prepared,Chapter 3.5,,
Beschadigd,Damage,Chapter 2.2,,
Beslissing,Decision,Chapter 2,,
Bespaar,Save,Chapter 3.7,,
besparen,Save,Chapter 3.7,,
Bespreken,To discuss to talk about to review,Chapter 3.3,,
bestaan,Exist,Chapter 2.5,,
bijeenkomst,Meeting,Chapter 3.1,,
bijsluiter,Package insert,Chapter 2.3,,
bijwerking,Side effect,Chapter 2.3,,
blad,Leaf,Chapter 3.1,,
Bonnen,Bones,Chapter 2.7,,
boormachine,Drilling machine,Chapter 3.7,,
brandwonden,Burns,Chapter 2.3,,
buigen,Bend,Chapter 2.6,,
daardoor,As a result because of,Chapter 5.1,,
daarentegen,On the other hand,Chapter 5.1,,
Dak,Roof,Chapter 3.1,,
Dekbed,Duvet,Chapter 3.6,,
Diagnose,Diagnosis,Chapter 2.4,,
Dweil,Mop,Chapter 3.3,,
eenvoudig,Simple,Chapter 3.7,,
eigenlijk,Actually,Chapter 3.1,,
emmer,Bucket,Chapter 3.7,,
ernstig,Serious,Chapter 2.3,,
ervaren,Experienced,Chapter 5.1,,
Etiket,Label sticker,Chapter 2.1,,
evenwicht,Balance,Chapter 2.6,,
fototoestel,Camera,Chapter 3.6,,
Functioneren,To function to operate to perform,Chapter 2.4,,
geestelijk,Spiritual mentally,Chapter 2.5,,
Geheugen,Memory,Chapter 2.5,,
gehoorbescherming,Hearing protection,Chapter 2.2,,
genezen,Heal cure recover,Chapter 2.2,,
gereedschapskist,Tool chest,Chapter 3.7,,
geschikt,Suitable,Chapter 3.1,,
gespannen,Tense,Chapter 2.6,,
getuige,Witness,Chapter 3.1,,
gevolg,Consequence result effect,Chapter 2.6,,
gezamenlijk,Together,Chapter 3.1,,
Graan,Grain,Chapter 3.6,,
grenzen,Borders/limits,Chapter 2.2,,
handel,Trade business,Chapter 5.1,,
Herrie,Noise,Chapter 3.5,,
het valt mee,It's not so bad,Chapter 3.7,,
hoestdrank,Cough syrup,Chapter 2.3,,
Hond,Dog,Chapter 2,,
houdbaarheidsdatum,Expiration date,Chapter 2.3,,
houding,Posture/attitude,Chapter 2.2,,
inademen,Breathe in,Chapter 2.6,,
inbreken,Commit burglary,Chapter 3.1,,
ingewikkeld,Complicated,Chapter 3.7,,
jeuk,Itch,Chapter 2.3,,
Kaars,Candle,Chapter 3.6,,
Kachel,Stove,Chapter 3.6,,
kampen met,Struggle with,Chapter 5.1,,
Kant-en-klaar,Ready made,Chapter 2.1,,
Kar,Cart/trolley,Chapter 3.6,,
Kelder,Cellar,Chapter 3.6,,
kiespijn,Toothache,Chapter 2.3,,
Klusser,Handyman,Chapter 3.3,,
Koorts,Fever,Chapter 2,,
kruiwagen,Wheelbarrow,Chapter 3.1,,
Kunststof,Plastic,Chapter 3.6,,
kust,Coast,Chapter 3.6,,
kwast,Brush,Chapter 3.7,,
Langsgaan,Pass by,Chapter 3.5,,
lantaarnpaal,Lamppost,Chapter 3.1,,
leunen,Lean,Chapter 2.6,,
lijf,Body,Chapter 2.6,,
linker,Left,Chapter 2.6,,
lippenstift,Lipstick,Chapter 2.3,,
Logeren,Stay sleepover (temp),Chapter 3.5,,
maatregel,Measure/action,Chapter 2.2,,
Mager,Thin,Chapter 2.1,,
Mand,Basket,Chapter 3.6,,
Manier,Way,Chapter 2,,
mededeling,Announcement,Chapter 3.1,,
meedoen,Join,Chapter 3.1,,
meetlint,Tape measure,Chapter 3.7,,
Mengen,Mix,Chapter 3.7,,
